ID,question,knowledge concept,option,answer,image_path,knowledge concept description
17,What is the capital of South Carolina?,State capitals,A. Columbia | B. Montgomery | C. Charleston | D. Harrisburg,Columbia,scienceqa_images_fixed/17.jpg,
21,What is the probability that a koi fish produced by this cross will have black eyes?,Genes to traits,A. 0/4 | B. 1/4 | C. 4/4 | D. 3/4 | E. 2/4,0/4,scienceqa_images_fixed/21.jpg,"Offspring phenotypes: dominant or recessive?
How do you determine an organism's phenotype for a trait? Look at the combination of alleles in the organism's genotype for the gene that affects that trait. Some alleles have types called dominant and recessive. These two types can cause different versions of the trait to appear as the organism's phenotype.
If an organism's genotype has at least one dominant allele for a gene, the organism's phenotype will be the dominant allele's version of the gene's trait.
If an organism's genotype has only recessive alleles for a gene, the organism's phenotype will be the recessive allele's version of the gene's trait.
In a Punnett square, each box represents a different outcome, or result. Each of the four outcomes is equally likely to happen. Each box represents one way the parents' alleles can combine to form an offspring's genotype. Because there are four boxes in the Punnett square, there are four possible outcomes.
An event is a set of one or more outcomes. The probability of an event is a measure of how likely the event is to happen. This probability is a number between 0 and 1, and it can be written as a fraction:
probability of an event = number of ways the event can happen / number of equally likely outcomes
You can use a Punnett square to calculate the probability that a cross will produce certain offspring. For example, the Punnett square below has two boxes with the genotype Ff. It has one box with the genotype FF and one box with the genotype ff. This means there are two ways the parents' alleles can combine to form Ff. There is one way they can combine to form FF and one way they can combine to form ff.
 | F | f
F | FF | Ff
f | Ff | ff
Consider an event in which this cross produces an offspring with the genotype ff. The probability of this event is given by the following fraction:
number of ways the event can happen / number of equally likely outcomes = number of boxes with the genotype ff / total number of boxes = 1 / 4."
23,Which property do these three objects have in common?,Materials,A. hard | B. soft | C. yellow,soft,scienceqa_images_fixed/23.jpg,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells. Properties can also tell you how an object will behave when something happens to it.
Different objects can have properties in common. You can use these properties to put objects into groups. Grouping objects by their properties is called classification."
25,What is the capital of Colorado?,State capitals,A. Baton Rouge | B. Denver | C. Sacramento | D. Spokane,Denver,scienceqa_images_fixed/25.jpg,
26,Select the fish below.,Classification,A. black howler | B. cardinalfish,cardinalfish,scienceqa_images_fixed/26.jpg,"Birds, mammals, fish, reptiles, and amphibians are groups of animals. The animals in each group have traits in common.
Scientists sort animals into groups based on traits they have in common. This process is called classification."
28,"Complete the statement.
Tungsten carbide is ().",Atoms and molecules,A. an elementary substance | B. a compound,a compound,scienceqa_images_fixed/28.jpg,"There are more than 100 different chemical elements, or types of atoms. Chemical elements make up all of the substances around you.
A substance may be composed of one chemical element or multiple chemical elements. Substances that are composed of only one chemical element are elementary substances. Substances that are composed of multiple chemical elements bonded together are compounds.
Every chemical element is represented by its own atomic symbol. An atomic symbol may consist of one capital letter, or it may consist of a capital letter followed by a lowercase letter. For example, the atomic symbol for the chemical element fluorine is F, and the atomic symbol for the chemical element beryllium is Be.
Scientists use different types of models to represent substances whose atoms are bonded in different ways. One type of model is a ball-and-stick model. The ball-and-stick model below represents the compound pyrite.
In a ball-and-stick model, the balls represent atoms, and the sticks represent bonds. Notice that the balls in the model above are not all the same color. Each color represents a different chemical element. The legend shows the color and the atomic symbol for each chemical element in the substance."
29,What can Maureen and Kendrick trade to each get what they want?,Basic economic principles,A. Kendrick can trade his broccoli for Maureen's oranges. | B. Kendrick can trade his almonds for Maureen's tomatoes. | C. Maureen can trade her tomatoes for Kendrick's broccoli. | D. Maureen can trade her tomatoes for Kendrick's carrots.,Maureen can trade her tomatoes for Kendrick's broccoli.,scienceqa_images_fixed/29.jpg,
32,What is the expected ratio of offspring with a hairy body to offspring with a hairless body? Choose the most likely ratio.,Genes to traits,A. 3:1 | B. 4:0 | C. 2:2 | D. 0:4 | E. 1:3,4:0,scienceqa_images_fixed/32.jpg,"Offspring phenotypes: dominant or recessive?
How do you determine an organism's phenotype for a trait? Look at the combination of alleles in the organism's genotype for the gene that affects that trait. Some alleles have types called dominant and recessive. These two types can cause different versions of the trait to appear as the organism's phenotype.
If an organism's genotype has at least one dominant allele for a gene, the organism's phenotype will be the dominant allele's version of the gene's trait.
If an organism's genotype has only recessive alleles for a gene, the organism's phenotype will be the recessive allele's version of the gene's trait.
A Punnett square shows what types of offspring a cross can produce. The expected ratio of offspring types compares how often the cross produces each type of offspring, on average. To write this ratio, count the number of boxes in the Punnett square representing each type.
For example, consider the Punnett square below.
 | F | f
F | FF | Ff
f | Ff | ff
There is 1 box with the genotype FF and 2 boxes with the genotype Ff. So, the expected ratio of offspring with the genotype FF to those with Ff is 1:2."
36,Identify the question that Gabe's experiment can best answer.,Designing experiments,A. Do more bacteria grow in liquid with cinnamon than in liquid without cinnamon? | B. Does temperature affect how much bacteria can grow in liquid?,Do more bacteria grow in liquid with cinnamon than in liquid without cinnamon?,scienceqa_images_fixed/36.jpg,"Experiments can be designed to answer specific questions. How can you identify the questions that a certain experiment can answer? In order to do this, you need to figure out what was tested and what was measured during the experiment.
Imagine an experiment with two groups of daffodil plants. One group of plants was grown in sandy soil, and the other was grown in clay soil. Then, the height of each plant was measured.
First, identify the part of the experiment that was tested. The part of an experiment that is tested usually involves the part of the experimental setup that is different or changed. In the experiment described above, each group of plants was grown in a different type of soil. So, the effect of growing plants in different soil types was tested.
Then, identify the part of the experiment that was measured. The part of the experiment that is measured may include measurements and calculations. In the experiment described above, the heights of the plants in each group were measured.
Experiments can answer questions about how the part of the experiment that is tested affects the part that is measured. So, the experiment described above can answer questions about how soil type affects plant height.
Examples of questions that this experiment can answer include:
Does soil type affect the height of daffodil plants?
Do daffodil plants in sandy soil grow taller than daffodil plants in clay soil?
Are daffodil plants grown in sandy soil shorter than daffodil plants grown in clay soil?"
40,Is a scarf a solid or a liquid?,States of matter,A. a solid | B. a liquid,a solid,scienceqa_images_fixed/40.jpg,"Solid and liquid are states of matter. Matter is anything that takes up space. Matter can come in different states, or forms.
When matter is a solid, it has a shape of its own.
Some solids can be bent or broken easily. Others are hard to bend or break.
A glass cup is a solid. A sock is also a solid.
When matter is a liquid, it takes the shape of its container.
Think about pouring a liquid from a cup into a bottle. The shape of the liquid is different in the cup than in the bottle. But the liquid still takes up the same amount of space.
Juice is a liquid. Honey is also a liquid."
41,Which animal is also adapted for climbing trees?,Adaptations,A. takin | B. red-handed tamarin,red-handed tamarin,scienceqa_images_fixed/41.jpg,"An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
The shape of an animal's feet is one example of an adaptation. Animals' feet can be adapted in different ways. For example, webbed feet might help an animal swim. Feet with thick fur might help an animal walk on cold, snowy ground."
45,Which of the following was a dependent variable in this experiment?,Designing experiments,A. the type of liquid used | B. the number of rusted steel squares,the number of rusted steel squares,scienceqa_images_fixed/45.jpg,"Experiments have variables, or parts that change. You can design an experiment to find out how one variable affects another variable. For example, imagine that you want to find out if fertilizer affects the number of tomatoes a tomato plant grows. To answer this question, you decide to set up two equal groups of tomato plants. Then, you add fertilizer to the soil of the plants in one group but not in the other group. Later, you measure the effect of the fertilizer by counting the number of tomatoes on each plant.
In this experiment, the amount of fertilizer added to the soil and the number of tomatoes were both variables.
The amount of fertilizer added to the soil was an independent variable because it was the variable whose effect you were investigating. This type of variable is called independent because its value does not depend on what happens after the experiment begins. Instead, you decided to give fertilizer to some plants and not to others.
The number of tomatoes was a dependent variable because it was the variable you were measuring. This type of variable is called dependent because its value can depend on what happens in the experiment."
51,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,Magnets,A. The magnitude of the magnetic force is smaller in Pair 2. | B. The magnitude of the magnetic force is smaller in Pair 1. | C. The magnitude of the magnetic force is the same in both pairs.,The magnitude of the magnetic force is smaller in Pair 2.,scienceqa_images_fixed/51.jpg,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces.
The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more strongly the magnets attract or repel each other.
You can change the magnitude of a magnetic force between two magnets by changing the distance between them. The magnitude of the magnetic force is smaller when there is a greater distance between the magnets."
52,"Is chalk a solid, a liquid, or a gas?",States of matter,A. a liquid | B. a solid | C. a gas,a solid,scienceqa_images_fixed/52.jpg,"Solid, liquid, and gas are states of matter. Matter is anything that takes up space. Matter can come in different states, or forms.
When matter is a solid, it has a definite volume and a definite shape. So, a solid has a size and shape of its own.
Some solids can be easily folded, bent, or broken. A piece of paper is a solid. Also, some solids are very small. A grain of sand is a solid.
When matter is a liquid, it has a definite volume but not a definite shape. So, a liquid has a size of its own, but it does not have a shape of its own. Think about pouring juice from a bottle into a cup. The juice still takes up the same amount of space, but it takes the shape of the bottle.
Some liquids do not pour as easily as others. Honey and milk are both liquids. But pouring honey takes more time than pouring milk.
When matter is a gas, it does not have a definite volume or a definite shape. A gas expands, or gets bigger, until it completely fills a space. A gas can also get smaller if it is squeezed into a smaller space.
Many gases are invisible. Air is a gas."
57,Which solution has a higher concentration of yellow particles?,Solutions,A. neither; their concentrations are the same | B. Solution B | C. Solution A,Solution B,scienceqa_images_fixed/57.jpg,"A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent.
The concentration of a solute in a solution is a measure of the ratio of solute to solvent. Concentration can be described in terms of particles of solute per volume of solvent.
concentration = particles of solute / volume of solvent"
61,Which animal's feet are also adapted for swimming?,Adaptations,A. blue-footed booby | B. tokay gecko,blue-footed booby,scienceqa_images_fixed/61.jpg,"An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
The shape of an animal's feet is one example of an adaptation. Animals' feet can be adapted in different ways. For example, webbed feet might help an animal swim. Feet with thick fur might help an animal walk on cold, snowy ground."
64,Which solution has a higher concentration of green particles?,Solutions,A. Solution A | B. Solution B | C. neither; their concentrations are the same,Solution A,scienceqa_images_fixed/64.jpg,"A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent.
The concentration of a solute in a solution is a measure of the ratio of solute to solvent. Concentration can be described in terms of particles of solute per volume of solvent.
concentration = particles of solute / volume of solvent"
66,What is the capital of Washington?,State capitals,A. Santa Fe | B. Seattle | C. New Orleans | D. Olympia,Olympia,scienceqa_images_fixed/66.jpg,
67,What is the capital of New York?,State capitals,A. Albany | B. Lansing | C. Buffalo | D. Hartford,Albany,scienceqa_images_fixed/67.jpg,
70,Which cones make pollen?,Plant reproduction,A. pollinated cones | B. male cones,male cones,scienceqa_images_fixed/70.jpg,"Gymnosperms are plants that have seeds but not flowers. Conifers are a type of a gymnosperm. Instead of flowers, conifers have cones. Conifers use their cones for sexual reproduction.
Most conifer trees have both male and female cones. The male cones produce pollen. The female cones produce eggs and a sticky substance on the edge of the cone.
Male cones release pollen into the wind. Pollination happens when pollen lands on and sticks to the female cones. Self-pollination happens when pollen sticks to a female cone on the same tree. Cross-pollination happens when pollen sticks to a female cone on a different tree.
After pollination, sperm from the pollen fuse with eggs at the base of the female cone's scales. This is called fertilization.
The fertilized eggs grow into seeds inside the female cone. Conifer seeds are released from the fertilized cones. Many conifer seeds have wing-like structures. They can be carried long distances by the wind. When a seed lands on the ground, it can germinate and grow into a new plant.
The new plant can grow cones and begin the conifer life cycle again."
71,What can Debbie and Madelyn trade to each get what they want?,Basic economic principles,A. Madelyn can trade her broccoli for Debbie's oranges. | B. Debbie can trade her tomatoes for Madelyn's broccoli. | C. Debbie can trade her tomatoes for Madelyn's sandwich. | D. Madelyn can trade her almonds for Debbie's tomatoes.,Debbie can trade her tomatoes for Madelyn's broccoli.,scienceqa_images_fixed/71.jpg,
76,"Complete the statement.
Palladium is ().",Atoms and molecules,A. a compound | B. an elementary substance,an elementary substance,scienceqa_images_fixed/76.jpg,"There are more than 100 different chemical elements, or types of atoms. Chemical elements make up all of the substances around you.
A substance may be composed of one chemical element or multiple chemical elements. Substances that are composed of only one chemical element are elementary substances. Substances that are composed of multiple chemical elements bonded together are compounds.
Every chemical element is represented by its own atomic symbol. An atomic symbol may consist of one capital letter, or it may consist of a capital letter followed by a lowercase letter. For example, the atomic symbol for the chemical element fluorine is F, and the atomic symbol for the chemical element beryllium is Be.
Scientists use different types of models to represent substances whose atoms are bonded in different ways. One type of model is a space-filling model. The space-filling model below represents the elementary substance copper.
In a space-filling model, the balls represent atoms that are bonded together. The color of a ball represents a specific chemical element. The atomic symbol for that chemical element is shown in the legend."
77,What is the probability that a Nile tilapia fish produced by this cross will have a greenish-brown body?,Genes to traits,A. 2/4 | B. 3/4 | C. 1/4 | D. 0/4 | E. 4/4,4/4,scienceqa_images_fixed/77.jpg,"Offspring phenotypes: dominant or recessive?
How do you determine an organism's phenotype for a trait? Look at the combination of alleles in the organism's genotype for the gene that affects that trait. Some alleles have types called dominant and recessive. These two types can cause different versions of the trait to appear as the organism's phenotype.
If an organism's genotype has at least one dominant allele for a gene, the organism's phenotype will be the dominant allele's version of the gene's trait.
If an organism's genotype has only recessive alleles for a gene, the organism's phenotype will be the recessive allele's version of the gene's trait.
In a Punnett square, each box represents a different outcome, or result. Each of the four outcomes is equally likely to happen. Each box represents one way the parents' alleles can combine to form an offspring's genotype. Because there are four boxes in the Punnett square, there are four possible outcomes.
An event is a set of one or more outcomes. The probability of an event is a measure of how likely the event is to happen. This probability is a number between 0 and 1, and it can be written as a fraction:
probability of an event = number of ways the event can happen / number of equally likely outcomes
You can use a Punnett square to calculate the probability that a cross will produce certain offspring. For example, the Punnett square below has two boxes with the genotype Ff. It has one box with the genotype FF and one box with the genotype ff. This means there are two ways the parents' alleles can combine to form Ff. There is one way they can combine to form FF and one way they can combine to form ff.
 | F | f
F | FF | Ff
f | Ff | ff
Consider an event in which this cross produces an offspring with the genotype ff. The probability of this event is given by the following fraction:
number of ways the event can happen / number of equally likely outcomes = number of boxes with the genotype ff / total number of boxes = 1 / 4."
80,"In this food chain, the Mojave yucca is a producer. Why?",Ecosystems,A. It eats another living thing. | B. It makes its own food.,It makes its own food.,scienceqa_images_fixed/80.jpg,"Every living thing needs food to stay alive. Living things get their food in different ways. A food chain shows how living things in an ecosystem get their food.
Producers make their own food. Many producers use carbon dioxide, water, and sunlight to make sugar. This sugar is food for the producer.
Consumers eat other living things. Consumers cannot make their own food."
84,Which of these states is farthest east?,Geography,A. Montana | B. New Mexico | C. Arkansas | D. Nebraska,Arkansas,scienceqa_images_fixed/84.jpg,"Maps have four cardinal directions, or main directions. Those directions are north, south, east, and west.
A compass rose is a set of arrows that point to the cardinal directions. A compass rose usually shows only the first letter of each cardinal direction.
The north arrow points to the North Pole. On most maps, north is at the top of the map."
85,Will these magnets attract or repel each other?,Magnets,A. repel | B. attract,attract,scienceqa_images_fixed/85.jpg,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart.
Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles, called north and south.
Here are some examples of magnets. The north pole of each magnet is marked N, and the south pole is marked S.
If different poles are closest to each other, the magnets attract. The magnets in the pair below attract.
If the same poles are closest to each other, the magnets repel. The magnets in both pairs below repel."
88,Which country is highlighted?,The Americas: geography,A. Saint Lucia | B. Grenada | C. Haiti | D. Cuba,Haiti,scienceqa_images_fixed/88.jpg,
89,What is the name of the colony shown?,Colonial America,A. New Jersey | B. Virginia | C. West Virginia | D. Indiana,Virginia,scienceqa_images_fixed/89.jpg,
91,Which of the following could Cody's test show?,Engineering practices,A. how well the weather station would work when it was windy | B. if the weather station would work when the temperature was 50°C,if the weather station would work when the temperature was 50°C,scienceqa_images_fixed/91.jpg,"People can use the engineering-design process to develop solutions to problems. One step in the process is testing if a potential solution meets the requirements of the design. How can you determine what a test can show? You need to figure out what was tested and what was measured.
Imagine an engineer needs to design a bridge for a windy location. She wants to make sure the bridge will not move too much in high wind. So, she builds a smaller prototype, or model, of a bridge. Then, she exposes the prototype to high winds and measures how much the bridge moves.
First, identify what was tested. A test can examine one design, or it may compare multiple prototypes to each other. In the test described above, the engineer tested a prototype of a bridge in high wind.
Then, identify what the test measured. One of the criteria for the bridge was that it not move too much in high winds. The test measured how much the prototype bridge moved.
Tests can show how well one or more designs meet the criteria. The test described above can show whether the bridge would move too much in high winds."
93,Select the chemical formula for this molecule.,Atoms and molecules,A. H2F | B. H2F2 | C. HF | D. HF2,HF,scienceqa_images_fixed/93.jpg,"Every substance around you is made up of atoms. Atoms can link together to form molecules. The links between atoms in a molecule are called chemical bonds. Different molecules are made up of different chemical elements, or types of atoms, bonded together.
Scientists use both ball-and-stick models and chemical formulas to represent molecules.
A ball-and-stick model of a molecule is shown below.
The balls represent atoms. The sticks represent the chemical bonds between the atoms. Balls that are different colors represent atoms of different elements. The element that each color represents is shown in the legend.
Every element has its own abbreviation, called its atomic symbol. Every chemical element is represented by its own symbol. For some elements, that symbol is one capital letter. For other elements, it is one capital letter followed by one lowercase letter. For example, the symbol for the element boron is B and the symbol for the element chlorine is Cl.
The molecule shown above has one boron atom and three chlorine atoms. A chemical bond links each chlorine atom to the boron atom.
The chemical formula for a substance contains the atomic symbol for each element in the substance. Many chemical formulas also contain subscripts. A subscript is small text placed lower than the normal line of text. Each subscript in a chemical formula is placed after the symbol for an element and tells you how many atoms of that element that symbol represents. If there is no subscript after a symbol, that symbol represents one atom.
So, the chemical formula for a substance tells you which elements make up that substance. It also tells you the ratio of the atoms of those elements in the substance. For example, the chemical formula below tells you that there are three chlorine atoms for every one boron atom in the substance. This chemical formula represents the same substance as the ball-and-stick model shown above."
95,"During this time, thermal energy was transferred from () to ().",Thermal energy,A. each aquarium . . . the surroundings | B. the surroundings . . . each aquarium,each aquarium . . . the surroundings,scienceqa_images_fixed/95.jpg,"A change in an object's temperature indicates a change in the object's thermal energy:
An increase in temperature shows that the object's thermal energy increased. So, thermal energy was transferred into the object from its surroundings.
A decrease in temperature shows that the object's thermal energy decreased. So, thermal energy was transferred out of the object to its surroundings."
97,What is the capital of Texas?,State capitals,A. Dallas | B. Atlanta | C. Salem | D. Austin,Austin,scienceqa_images_fixed/97.jpg,
99,Which of these cities is marked on the map?,Cities,"A. New York City | B. Philadelphia | C. Pittsburgh | D. Washington, D.C.","Washington, D.C.",scienceqa_images_fixed/99.jpg,
102,Select the organism in the same genus as the crystal jellyfish.,Classification and scientific names,A. Goura victoria | B. Larus occidentalis | C. Aequorea victoria,Aequorea victoria,scienceqa_images_fixed/102.jpg,"Scientists use scientific names to identify organisms. Scientific names are made of two words.
The first word in an organism's scientific name tells you the organism's genus. A genus is a group of organisms that share many traits.
A genus is made up of one or more species. A species is a group of very similar organisms. The second word in an organism's scientific name tells you its species within its genus.
Together, the two parts of an organism's scientific name identify its species. For example Ursus maritimus and Ursus americanus are two species of bears. They are part of the same genus, Ursus. But they are different species within the genus. Ursus maritimus has the species name maritimus. Ursus americanus has the species name americanus.
Both bears have small round ears and sharp claws. But Ursus maritimus has white fur and Ursus americanus has black fur."
103,Which solution has a higher concentration of green particles?,Solutions,A. Solution A | B. neither; their concentrations are the same | C. Solution B,Solution A,scienceqa_images_fixed/103.jpg,"A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent.
The concentration of a solute in a solution is a measure of the ratio of solute to solvent. Concentration can be described in terms of particles of solute per volume of solvent.
concentration = particles of solute / volume of solvent"
105,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,Magnets,A. The magnetic force is stronger in Pair 1. | B. The magnetic force is stronger in Pair 2. | C. The strength of the magnetic force is the same in both pairs.,The magnetic force is stronger in Pair 1.,scienceqa_images_fixed/105.jpg,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart.
These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other.
You can change the strength of a magnetic force between two magnets by changing the distance between them. The magnetic force is stronger when the magnets are closer together."
106,Which property do these four objects have in common?,Materials,A. translucent | B. sweet | C. fuzzy,sweet,scienceqa_images_fixed/106.jpg,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells. Properties can also tell you how an object will behave when something happens to it.
Different objects can have properties in common. You can use these properties to put objects into groups. Grouping objects by their properties is called classification."
